address,balance,tier
0xb8e0ed7ff9a7774c4bdf8e8ec313a48e75156d63,0,tier0
0xeb34d0196245e05a88bd57b66e66b2a3150a4ca2,0,tier0
0x2999fd87b0b60c53b9cd2e9bbc113206c48a293e,447.70647531289967,tier1
0x9b8471160737db8979d6fc955db57133a84629e5,835.2926714570433,tier1
0x413e82c755d460a249796cd9451d0da3af7c2053,720.7560710438694,tier1
0x5f7a80d9413945160a95c53212f7d6caba569ad9,588.6969001978654,tier1
0x6eddf4a4571bc82580a6dd4fd2098956f2bbc79d,3141.1851612020605,tier2
0x1bbc3c2e674c26264c08bbd8a7911c404d4e3afb,419.47807713569625,tier1
0xcc3d75e0a2acd887315e8f3f2dd6b51ccca2a935,-1432.4499992398155,tier0
0x5fa57337f2cd03be69536c6d151aaf63d709903e,-6.136639452281997,tier0
0x447a10c7ee990a0aee3a2eb13255dda38cd40f09,322.5728652481372,tier1
0x3c01c5fc1b53a6ae0e5a61e044a1ab9338b29805,0,tier0
0xf6a52c59ae28e6ea322331c7fd53843fb40a9609,656.3895777341892,tier1
0x04fedfcbbb1db7c8bed4c03afa616c10fd06e835,294.4268513309939,tier1
0xb4536504267e752104a22bbfdd9b8b2d5d05d5a3,4738.634048910431,tier2
0x0f6d1266adbd8214c6aa5432441726feec0ab433,57.96910346962872,tier0
0x82e02107657ee7183fb30bb6cb9cae945602d498,0,tier0
0x5a82295a2b9d382b640bba8a4a364d8344f9199c,5.340053673883331,tier0
0x53303893a13dc5494cc6fe6225a3ed7cab117477,420.9126047140814,tier1
0xec2a9a192929ed1f280f7fd8935b881e3a649dc0,0,tier0
0xa51882d828a28d33d80dc06fbd2f859f363d3757,378.6068354572955,tier1
0xa05391a41611803f392d05e832a9daf97f3bf4b4,426.6795907752592,tier1
0x4b2970b38dceca8ed0f0074b905d4cc6f3dc9f3c,102.08745876890842,tier1
0x38df7a41efc3730b9d526361a1a6e7a743a95b5d,302.4971861893886,tier1
0x63cd2c1491c1a3082b1fb7672cdd2a2eb101a3fa,70.15198812964844,tier0
0x67f5975aad8ef28ed30c044c06b56c92703aa8da,519.8525741780618,tier1
0x649d8205027da9cc13dae7d1bedd0cdac836acb2,1111.249218699947,tier2
0xcd5ed659e761d4d96a783505378d52b5aca51e6b,426.98539223647657,tier1
0x8e43118a132cb30b1bbedc32090cda2a79ad913d,12.514125134460377,tier0
0x0b6aabdbe96a6d61e091fa024ee972282ee96e7f,54.175396398602366,tier0
0x366b9a52657328c93d75316879f361f4da9161c1,0,tier0
0xe2b7060237e4d0328a2d0daf1cc1e8d52854aebf,493.43966721629613,tier1
0xf14b486df8285ee482ecca829f6ce8573c1d7c73,6439.965387401784,tier2
0x162f5754c7324513b7358acb8bf02593e012ed79,61.7985688642464,tier0
0xb5ece9318223be6f04840bdce1184ba9ab769ecd,113.3362482293926,tier1
0xd2a2b300d5eeb9c5884c126def58fb9039d111e1,69.78226067618773,tier0
0x42d2ba5d094964b5db944ed7f64e6ed8d6743112,7810.523158896276,tier2
0x7e8d3c6dfd60e5db46bcd65a8e95030290329ca4,963.4058264645512,tier1
0xb68a48b29b72b422c8ce52fd1dd41250f5049dd5,213.60215191068073,tier1
0x98ba47881c4742228ea8eae38da495d9e2ca5ec6,2166.343249479113,tier2
0xf57f0a04e9cf4ac11d28027859423666ae2fdf96,363.6090464731125,tier1
0x1a1bad26f432aff8a9f8352fd385384eb023952e,0,tier0
0xb7a1c6a5143b2d0efff58e6934b5117cb8781253,2125.717292950582,tier2
0xcfaece576e1638fadf7146d451598d516f3d48b6,0,tier0
0x4c16e06a2de29aca77029cfd078b6c336c40e64a,134.04102004276874,tier1
0x683cf28faa529d2d80830b7368cc8629e89da544,37.203813737764875,tier0
0x602fbda816e9c95b03c4aab11dcc572595ced21e,1037.3422653438704,tier2
0x0157d825eacbb614031840f172ad6515d30f2a4f,0,tier0
0x77588475d019a136cf44712fa498abac532767e6,1941.7423651235742,tier2
0x207c6fd6d8add9d3328c9df0b05e9d9fb305b820,7965.084101690838,tier2
0x8577879b11672266f25fa1c7b674bd2cf4a35ec1,27.308753574676356,tier0
0x90a02b32d5aaa5e3aac5dea100dfddff648f0252,531.4709311816022,tier1
0xf5135183729a29fcfb32f05f0f1af6419fce62ab,451.96757304106495,tier1
0x6a199f2c0bc8296cba13449641089d1a7b420202,268.142323093766,tier1
0x164d1d41a6e485f122c22169ea821e985089c29e,331.07572708120375,tier1
0xcd4e82e393f1e87ead08bc644aa5f9383f121aab,-69.64253675041255,tier0
0x63d2f9c83029bf5825ad1c573f3c4c733299f812,0,tier0
0x85ee04498d58d12a75ab7bb5bf8516251979750f,6273.339855878768,tier2
0xa8fcdb8d1761a5080f52d69b97b71b4520a44e8e,3576.681887844478,tier2
0xf3530b0895f6546efab40bdec684c92aa7e331dc,53.065852565706145,tier0
0x7e6d4318e48edf787ec4d0a231ba2850bc4dcf01,-13974.40121256742,tier0
0x99714681853709a39f3c91d79b8f044f658f4de0,26.57695936720145,tier0
0x457bd8b39eff39ed87a7bfa034b4c1239b83e73e,0,tier0
0x717d0a26cc02a71c4d11099e0ece3431a8728585,1656.7164273682142,tier2
0x95c0c1b5c28a2937466a288a95d531f514507db9,162.9080714471519,tier1
0xbb53563cfb13f43f20ad6eea10cf24fcb5b88c1e,4687.147976945319,tier2
0x45a57fbae8f3cfccdbfce368cd7081c0e5eb3030,454.7742701043404,tier1
0xfb11bdd0539a3b07eb19b30cbf78c3712f8308fd,46.322410985261364,tier0
0xc13c7472c766e747963cdbf8f0c5af889e55e23d,1428.7158274552519,tier2
0x4d09420614df800e46b3e393d5534d1379e94300,0,tier0
0x438d44a54f719c1a8e40ac98b3a5bca29ca802d1,394.7981931562568,tier1
0x10c721263d452092e335be6076869bf11c8e1c95,247.11744855223208,tier1
0x05e6cf9b9cb3c6c960121f81c82b6877276f061a,26.489419134985923,tier0
0xc3a3ed370a44fbf7f6146eea4a45a32e0b5bf2f2,0,tier0
0x35ffaf598e7dff3c47dcaaa0d7a0780f77c0971e,80.10080698324633,tier0
0x02b3ef539283e33379aa96cbf66ed30afc8eff90,153.17126151323836,tier1
0x030b76cbd18fcd31c3c1071436b4cca8e33e7f72,395.99096486365045,tier1
0x355317b8ffa784cba6519454f47ba3ab447a3dcf,7821.608399521776,tier2
0x128516a48064e513e8373079102d7daa6de4e6db,172.92307981539423,tier1
0x85806171799c4dc0c3c30ff30665a9c2c12d5e6c,63.71896425147915,tier0
0x34a836476c781b734b4602469efe7a0de82c4700,58.514680269959705,tier0
0x6ee4d29fb41786778d7f308d8e434d6417eb6742,317.1878045632206,tier1
